id,pun,tags,attribution
144,"Striker Jerman yang suka main dekat

Miroslav Close",sepakbola,
145,"Studio game Indonesia yang dipakai membasmi DBD

Abate Studio","game, obat",
146,"Video game yang tidak yakin

Ace Combat 5: The Unsure War",game,
147,"Visual novel tentang kisah Tommy Soeharto setelah bebas dari penjara

Tommy After ～It's a Wonderful Life～",VN,
148,"Voice actor yang dipakai main voli

Mikasa Youko",seiyuu,
149,"Voice actor yang suka minta maaf

Sorry Hayami",seiyuu,
150,"Webtoon khilaf tapi translate bahasa Jawa

GUSTI'S COMIC",komik,
151,"Wisata kuliner di Sentul yang banyak plesetan

Pasar Ah Pun",kuliner,
152,"Wisata kuliner yang membuat perempuan histeris

Kyaa Kyaa Kembang Jepun~
",kuliner,ezra.h.nathanael
153,"Sebutan untuk orang yang menikah dengan iPhone

Nikah Siri","apple, tekno, handphone",
154,"Teknologi AI yang bisa memberikan pidato singkat saat memulai acara

Sekapur Siri","apple, tekno, handphone
",faiz.ilham
155,"Sebenarnya lawan para kapal di Kancolle itu mereka sendiri

Kan Musuh","kancolle, game",
156,"Pemusik rock yang terang bagaikan lampu

LED Zeppelin","musik, rock",
157,"Penemu yang suka bertanya

James What",penemu,
158,"Pemain timnas Indonesia yang ganteng

Handsomu Yama",sepakbola,
159,"Kota di Jepang yang pusat produksi siomay

Hokkiedo","kuliner, jepang",
160,"Klub sepakbola yang sering libur

Manchester Cuti",sepakbola,
161,"Karakter game yang penyihir tapi juga agen rahasia

Solid Snape","harry potter, game",
162,"Strategi sepakbola yang pakai mantan presiden disuruh di bawah gawang

Parkir Bush","sepakbola, amerika",
163,"Perusahaan mobil Jepang yang bikin film

Diehardtsu","jepang, film",
164,"Vokalis band yang bisa melayang di udara

Ariel Peterbang",musik,
165,"Vokalis yg paling populer saat bulan puasa

Candil Seurieus Band",musik,signore.farid
166,"Vokalis yang paling bahagia hidupnya

Girang Nidji",musik,"benhardmartin
"
167,"Vokalis band yang kalau makan suka buru-buru

Ian Keselak",musik,
168,"Vokalis band yang spesifik tipe tertentu

Char ly ST12",musik,
169,"Vokalis band yang pintar

Aksel Rose",musik,iamwahid
170,"Vokalis band yang suka berenang

Ariel PeterPan",musik,aisyahd
171,"Vokalis band yang dipakai ngetik

Arial Peterpan",musik,
173,"Mantan vokalis band yang jadi pemain bola

Andika Vermansyah","musik, sepakbola",
174,"Kalau Jepang punya kapal perang dibikin moe, Indonesia punya taman hiburan dibikin moe

Ancolle","kancolle, game",
175,"Mengapa keadilan itu dingin?

Karena Just Ice.","keadilan
",
176,"Karakter anime yang suka ngajak orang lain

Yuk! Nagato",anime,
177,"Film tentang pemilik toko tapi kesal sendiri

Cek Toko Sebel Ah",film,
178,"Film tentang bos mafia yang jadi bapak teladan

The Goodfather",film,
179,"Penulis buku yang suka guling-guling

J.K. Rolling",penulis,
180,"Hakim MK yang pas ditangkap KPK berkata ""it's a trap!""

Patrialis Ackbar","politik
",
181,"Kucing yang melatih klub sepakbola

Diego Si Meong","sepakbola, meong",
182,"Nasi yang berbahaya kalau dimakan

Nasi timbal","kuliner, kimia",
183,"Batuan yang terbentuk dari air mata lelaki

Batuan sedihmen","geologi
",
184,"Pembalap F1 yang bisa membuat makanan sedap

Kimi Royconnen",f1,
185,"Dari manakah asal superhero?

Dari PNS-PNS yang terkena mutasi.",pekerja,
186,"Ibunya rapper Indonesia yang jago masak nasi

Young Ma",kuliner,
187,"Gubernur Jakarta yg bisa dipakai untuk masak ?

A Hock","kuliner, politik",signore.farid
188,"Fisikawan yang slow but sure

Max Pelank",fisika,
189,"Fisikawan yang bosan

Niels Bore",fisika,
190,"Fisikawan yang habis nangis

Isak Newton",fisika,signore.farid
191,"Fisikawan yang tidak mau memberi suara.

Albert Abstein",fisika,dimas.saputra.75
192,"Band yang menghancurkan dinding

The Titans","anime, musik",
193,"Band yang haus

ST 2 gelas","musik
",signore.farid
194,"Band yang lama tidak bertemu

Kangen Band",musik,dimas.saputra.75
195,"Font yang menghancurkan dinding

Trebuchet MS","komputer, anime",faiz.ilham
196,"Band yang doyan pakai library JavaScript tertentu

Andra and the Backbone.js","musik, programmer
",
197,"Karakter komik Indonesia yang jadi seiyuu

Juuki Aoi","seiyuu, komik
",
198,"Air minum yang cantik

Haqua","anime, manga
",
199,"Girl band Korea yang jago ngoding

I.O.I",korea,
200,"Peraih Nobel yang bikin app ride-sharing

Robert Uber","tekno
",
201,"Negara yang datang dan lari

Comerun",negara,
202,"Negara yang sudah lari

I Ran",negara,
203,"Negara yang tiba tiba ada?

Suddan",negara,signore.farid
